Message	Time	Device_id	Payload	Latitude	Longitude	Altitude	Precision Dop	CPU VCC (volt)	CPU Temp (deg C)	Time to fix (sec)	extra value 2
"{""arduino_VCC"":4.02,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":6,""gps_lat"":52.63815657127836,""gps_lng"":4.75039629640554,""gps_prec"":3.1,""payload"":""ca dc f7 83 60 c8 0 6 1f / c9 77 2d"",""raw"":""ytz3g2DIAAYfyXct"",""time"":""2017-03-09T11:37:39.680671635Z"",""time_to_fix"":45"	3/9/2017 11:37	ballon	ca dc f7 83 60 c8 0 6 1f / c9 77 2d	52.63815657	4.750396296	6	3.1	4.02	19	45	
"{""arduino_VCC"":4.02,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63828531731875,""gps_lng"":4.7500529736311705,""gps_prec"":1.5,""payload"":""ca dd 3 83 60 b8 0 0 f / c9 77 28"",""raw"":""yt0Dg2C4AAAPyXco"",""time"":""2017-03-09T11:39:35.492556782Z"",""time_to_fix"":40"	3/9/2017 11:39	ballon	ca dd 3 83 60 b8 0 0 f / c9 77 28	52.63828532	4.750052974	0	1.5	4.02	19	40	
"{""arduino_VCC"":4.02,""arduino_temp"":18,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63839260568574,""gps_lng"":4.750010058284374,""gps_prec"":1.5,""payload"":""ca dd d 83 60 b6 0 0 f / c9 76 23"",""raw"":""yt0Ng2C2AAAPyXYj"",""time"":""2017-03-09T11:41:30.812855984Z"",""time_to_fix"":35"	3/9/2017 11:41	ballon	ca dd d 83 60 b6 0 0 f / c9 76 23	52.63839261	4.750010058	0	1.5	4.02	18	35	
"{""arduino_VCC"":4,""arduino_temp"":18,""device_id"":""ballon"",""gps_alt"":10,""gps_lat"":52.638521351726126,""gps_lng"":4.749859854570616,""gps_prec"":1.5,""payload"":""ca dd 19 83 60 af 0 a f / c8 76 40"",""raw"":""yt0Zg2CvAAoPyHZA"",""time"":""2017-03-09T11:44:16.48492903Z"",""time_to_fix"":80"	3/9/2017 11:44	ballon	ca dd 19 83 60 af 0 a f / c8 76 40	52.63852135	4.749859855	10	1.5	4	18	80	
"{""arduino_VCC"":3.98,""arduino_temp"":19,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63848916521604,""gps_lng"":4.749881312243986,""gps_prec"":3.6,""payload"":""ca dd 16 83 60 b0 0 0 24 / c7 77 28"",""raw"":""yt0Wg2CwAAAkx3co"",""time"":""2017-03-09T11:45:37.515559375Z"",""time_to_fix"":40"	3/9/2017 11:45	ballon	ca dd 16 83 60 b0 0 0 24 / c7 77 28	52.63848917	4.749881312	0	3.6	3.98	19	40	
"{""arduino_VCC"":4.24,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63849989405273,""gps_lng"":4.7496023624898385,""gps_prec"":3.8,""payload"":""ca dd 17 83 60 a3 0 0 26 / d4 79 6d"",""raw"":""yt0Xg2CjAAAm1Hlt"",""time"":""2017-03-09T11:54:04.80928419Z"",""time_to_fix"":305"	3/9/2017 11:54	ballon	ca dd 17 83 60 a3 0 0 26 / d4 79 6d	52.63849989	4.749602362	0	3.8	4.24	21	305	
"{""arduino_VCC"":4.24,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":39,""gps_lat"":52.63822094429855,""gps_lng"":4.7501602619981895,""gps_prec"":5.2,""payload"":""ca dc fd 83 60 bd 0 27 34 / d4 79 64"",""raw"":""ytz9g2C9ACc01Hlk"",""time"":""2017-03-09T11:58:32.370968138Z"",""time_to_fix"":260"	3/9/2017 11:58	ballon	ca dc fd 83 60 bd 0 27 34 / d4 79 64	52.63822094	4.750160262	39	5.2	4.24	21	260	
"{""arduino_VCC"":4.28,""arduino_temp"":20,""device_id"":""ballon"",""gps_alt"":47,""gps_lat"":52.63813511360496,""gps_lng"":4.750246092691782,""gps_prec"":1.7,""payload"":""ca dc f5 83 60 c1 0 2f 11 / d6 78 23"",""raw"":""ytz1g2DBAC8R1ngj"",""time"":""2017-03-09T11:59:14.854389993Z"",""time_to_fix"":35"	3/9/2017 11:59	ballon	ca dc f5 83 60 c1 0 2f 11 / d6 78 23	52.63813511	4.750246093	47	1.7	4.28	20	35	
"{""arduino_VCC"":4.28,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":19,""gps_lat"":52.63832823266554,""gps_lng"":4.749902769917412,""gps_prec"":1.8,""payload"":""ca dd 7 83 60 b1 0 13 12 / d6 79 52"",""raw"":""yt0Hg2CxABMS1nlS"",""time"":""2017-03-09T12:03:30.497012911Z"",""time_to_fix"":170"	3/9/2017 12:03	ballon	ca dd 7 83 60 b1 0 13 12 / d6 79 52	52.63832823	4.74990277	19	1.8	4.28	21	170	
"{""arduino_VCC"":4.26,""arduino_temp"":21,""device_id"":""ballon"",""gps_alt"":0,""gps_lat"":52.63906852239779,""gps_lng"":4.7487011402071175,""gps_prec"":6.7,""payload"":""ca dd 4c 83 60 79 0 0 43 / d5 79 14"",""raw"":""yt1Mg2B5AABD1XkU"",""time"":""2017-03-09T12:03:57.887905935Z"",""time_to_fix"":20"	3/9/2017 12:03	ballon	ca dd 4c 83 60 79 0 0 43 / d5 79 14	52.63906852	4.74870114	0	6.7	4.26	21	20	
